UP_id	tax_group
UniRef50_A0A516M2N4	Viruses
UniRef50_A0A516M3P2	Viruses
UniRef50_A0A516M4Q7	Viruses
UniRef50_A0A516M5L4	Viruses
UniRef50_A0A516M5T6	Viruses
UniRef50_A0A516M6B9	Viruses
UniRef50_A0A516M766	Viruses
UniRef50_A0A516M782	Viruses
UniRef50_A0A516M789	Viruses
UniRef50_A0A516M7E1	Viruses
UniRef50_A0A516M7L6	Viruses
UniRef50_A0A516M7R3	Viruses
UniRef50_A0A516M8H9	Viruses
UniRef50_A0A516M8M8	Viruses
UniRef50_A0A516M8N6	Viruses
UniRef50_A0A516M928	Viruses
UniRef50_A0A516M9Z7	Viruses
UniRef50_A0A516MA25	Viruses
UniRef50_A0A516MA74	Viruses
UniRef50_A0A516MAI0	Viruses
UniRef50_A0A516MAI6	Viruses
UniRef50_A0A516MBF6	Viruses
UniRef50_A0A516MCG8	Viruses
UniRef50_A0A516MCY4	Viruses
UniRef50_A0A516MET5	Viruses
UniRef50_A0A516MFP4	Viruses
UniRef50_A0A516MFT9	Viruses
UniRef50_A0A516MGE4	Viruses
UniRef50_A0A516MGH7	Viruses
UniRef50_A0A516MHF8	Viruses
UniRef50_A0A516MHG0	Viruses
UniRef50_A0A516MHT3	Viruses
UniRef50_A0A516MHT4	Viruses
UniRef50_A0A516MI43	Viruses
UniRef50_A0A516MIC8	Viruses
UniRef50_A0A516MIW0	Viruses
UniRef50_A0A516MIY1	Viruses
UniRef50_A0A516MKE6	Viruses
UniRef50_A0A516ML12	Viruses
UniRef50_A0A516MLC1	Viruses
UniRef50_A0A516MLD3	Viruses
UniRef50_A0A516MLG6	Viruses
UniRef50_A0A516MLJ1	Viruses
UniRef50_A0A516MM98	Viruses
UniRef50_A0A516MNB0	Viruses
UniRef50_A0A516MNC0	Viruses
UniRef50_A0A516MNM6	Viruses
UniRef50_A0A516MNT5	Viruses
UniRef50_A0A516MNW4	Viruses
UniRef50_A0A516MP04	Viruses
UniRef50_A0A516MP23	Viruses
UniRef50_A0A516MP84	Viruses
UniRef50_A0A516MPZ2	Viruses
UniRef50_A0A516TJP8	Bacteria
UniRef50_A0A517MWL4	Bacteria
UniRef50_A0A517NLM9	Bacteria
UniRef50_A0A517P168	Bacteria
UniRef50_A0A517PE22	Bacteria
UniRef50_A0A517QGZ6	Bacteria
UniRef50_A0A517QH48	Bacteria
UniRef50_A0A517QTX1	Bacteria
UniRef50_A0A517QV08	Bacteria
UniRef50_A0A517R2Y0	Bacteria
UniRef50_A0A517R764	Bacteria
UniRef50_A0A517R7H7	Bacteria
UniRef50_A0A517RB24	Bacteria
UniRef50_A0A517SMH1	Bacteria
UniRef50_A0A517SZC6	Bacteria
UniRef50_A0A517T8P0	Bacteria
UniRef50_A0A517TB81	Bacteria
UniRef50_A0A517TV19	Bacteria
UniRef50_A0A517VRK7	Bacteria
UniRef50_A0A517XQX7	Bacteria
UniRef50_A0A517Y2L2	Bacteria
UniRef50_A0A517Y5T2	Bacteria
UniRef50_A0A517Y6M8	Bacteria
UniRef50_A0A517YVP4	Bacteria
UniRef50_A0A518AM22	Bacteria
UniRef50_A0A518AUC8	Bacteria
UniRef50_A0A518AZ53	Bacteria
UniRef50_A0A518B5E5	Bacteria
UniRef50_A0A518BVS4	Bacteria
UniRef50_A0A518CBF3	Bacteria
UniRef50_A0A518CJ07	Bacteria
UniRef50_A0A518CPL9	Bacteria
UniRef50_A0A518CPM9	Bacteria
UniRef50_A0A518CPN2	Bacteria
UniRef50_A0A518CTW8	Bacteria
UniRef50_A0A518CTX4	Bacteria
UniRef50_A0A518DSB5	Bacteria
UniRef50_A0A518E0B9	Bacteria
UniRef50_A0A518E0H9	Bacteria
UniRef50_A0A518G724	Bacteria
UniRef50_A0A518G731	Bacteria
UniRef50_A0A518GBC1	Bacteria
UniRef50_A0A518GCS6	Bacteria
UniRef50_A0A518GDU0	Bacteria
UniRef50_A0A518I8T5	Bacteria
UniRef50_A0A518IGG4	Bacteria
UniRef50_A0A518IMS1	Bacteria
UniRef50_A0A518IPC8	Bacteria
UniRef50_A0A518JNS6	Bacteria
UniRef50_A0A518JNV7	Bacteria
UniRef50_A0A518JX05	Bacteria
UniRef50_A0A518LAI8	Bacteria
UniRef50_A0A518LFY3	Bacteria
UniRef50_A0A519B9B5	Bacteria
UniRef50_A0A519BSQ1	Archaea
UniRef50_A0A519CHU1	Archaea
UniRef50_A0A519CJH3	Archaea
UniRef50_A0A519CM91	Archaea
UniRef50_A0A519CNP2	Archaea
UniRef50_A0A519CPZ7	Archaea
UniRef50_A0A519CQE3	Archaea
UniRef50_A0A519CRI9	Archaea
UniRef50_A0A519CRS1	Archaea
UniRef50_A0A519CRU5	Archaea
UniRef50_A0A519CST5	Archaea
UniRef50_A0A519CW09	Archaea
UniRef50_A0A519CYQ5	Archaea
UniRef50_A0A519CZ91	Archaea
UniRef50_A0A519DBK4	Archaea
UniRef50_A0A519HBS2	Bacteria
UniRef50_A0A519IR84	Bacteria
UniRef50_A0A519L140	Bacteria
UniRef50_A0A519LKN2	Bacteria
UniRef50_A0A519MBM1	Bacteria
UniRef50_A0A519PQK6	Bacteria
UniRef50_A0A519PRK9	Bacteria
UniRef50_A0A519PU70	Bacteria
UniRef50_A0A519QNU6	Bacteria
UniRef50_A0A519STK1	Bacteria
UniRef50_A0A519VUZ2	Bacteria
UniRef50_A0A519VZI9	Bacteria
UniRef50_A0A519W0T6	Bacteria
UniRef50_A0A519ZES9	Bacteria
UniRef50_A0A519ZXN6	Bacteria
UniRef50_A0A520B9G7	Bacteria
UniRef50_A0A520B9J0	Bacteria
UniRef50_A0A520C1T4	Bacteria
UniRef50_A0A520CH04	Bacteria
UniRef50_A0A520D690	Bacteria
UniRef50_A0A520E7K9	Bacteria
UniRef50_A0A520GYW4	Bacteria
UniRef50_A0A520HNS3	Bacteria
UniRef50_A0A520I186	Bacteria
UniRef50_A0A520IDR8	Bacteria
UniRef50_A0A520JRL4	Bacteria
UniRef50_A0A520KNX1	Archaea
UniRef50_A0A520UKH3	Bacteria
UniRef50_A0A520WW39	Bacteria
UniRef50_A0A520Z2Q2	Bacteria
UniRef50_A0A521A967	Bacteria
UniRef50_A0A521CRD0	Bacteria
UniRef50_A0A521FZH2	Bacteria
UniRef50_A0A521G2S4	Bacteria
UniRef50_A0A521GW91	Bacteria
UniRef50_A0A521GZD8	Bacteria
UniRef50_A0A521H2F7	Bacteria
UniRef50_A0A521H783	Bacteria
UniRef50_A0A521K7I6	Bacteria
UniRef50_A0A521K8V5	Bacteria
UniRef50_A0A521KR18	Bacteria
UniRef50_A0A521KR46	Bacteria
UniRef50_A0A521L0D2	Bacteria
UniRef50_A0A521L590	Bacteria
UniRef50_A0A521N8R0	Bacteria
UniRef50_A0A521NZN4	Bacteria
UniRef50_A0A521PE76	Bacteria
