UP_id	tax_group
UniRef50_A0A2D6M8B7	Archaea
UniRef50_A0A2D6M8C2	Archaea
UniRef50_A0A2D6M8F4	Archaea
UniRef50_A0A2D6M8F9	Archaea
UniRef50_A0A2D6M8S1	Archaea
UniRef50_A0A2D6M8S8	Archaea
UniRef50_A0A2D6M8U2	Archaea
UniRef50_A0A2D6M905	Archaea
UniRef50_A0A2D6M923	Archaea
UniRef50_A0A2D6M996	Archaea
UniRef50_A0A2D6M9G4	Archaea
UniRef50_A0A2D6M9I9	Archaea
UniRef50_A0A2D6M9J7	Archaea
UniRef50_A0A2D6M9K1	Archaea
UniRef50_A0A2D6M9L6	Archaea
UniRef50_A0A2D6MA75	Archaea
UniRef50_A0A2D6MAY2	Archaea
UniRef50_A0A2D6MAZ6	Archaea
UniRef50_A0A2D6MB28	Archaea
UniRef50_A0A2D6MB74	Archaea
UniRef50_A0A2D6MBB6	Archaea
UniRef50_A0A2D6MBE2	Archaea
UniRef50_A0A2D6MBE6	Archaea
UniRef50_A0A2D6MBG2	Archaea
UniRef50_A0A2D6MBG6	Archaea
UniRef50_A0A2D6MBI4	Archaea
UniRef50_A0A2D6MBJ6	Archaea
UniRef50_A0A2D6MBJ8	Archaea
UniRef50_A0A2D6MBJ9	Archaea
UniRef50_A0A2D6MBN8	Archaea
UniRef50_A0A2D6MBQ0	Archaea
UniRef50_A0A2D6MBQ2	Archaea
UniRef50_A0A2D6MBV5	Archaea
UniRef50_A0A2D6MC37	Archaea
UniRef50_A0A2D6MC56	Archaea
UniRef50_A0A2D6MC81	Archaea
UniRef50_A0A2D6MCB1	Archaea
UniRef50_A0A2D6MCB2	Archaea
UniRef50_A0A2D6MCF7	Archaea
UniRef50_A0A2D6MCH2	Archaea
UniRef50_A0A2D6MCL9	Archaea
UniRef50_A0A2D6MCS9	Archaea
UniRef50_A0A2D6MCX7	Archaea
UniRef50_A0A2D6MCZ4	Archaea
UniRef50_A0A2D6MD35	Archaea
UniRef50_A0A2D6MD62	Archaea
UniRef50_A0A2D6MD77	Archaea
UniRef50_A0A2D6MDB1	Archaea
UniRef50_A0A2D6MDE9	Archaea
UniRef50_A0A2D6MDI1	Archaea
UniRef50_A0A2D6MDI9	Archaea
UniRef50_A0A2D6MDJ7	Archaea
UniRef50_A0A2D6MDL8	Archaea
UniRef50_A0A2D6MDT3	Archaea
UniRef50_A0A2D6MEE9	Archaea
UniRef50_A0A2D6MEF7	Archaea
UniRef50_A0A2D6MEI3	Archaea
UniRef50_A0A2D6MEK0	Archaea
UniRef50_A0A2D6MEN1	Archaea
UniRef50_A0A2D6MEN4	Archaea
UniRef50_A0A2D6MEX9	Archaea
UniRef50_A0A2D6MEZ0	Archaea
UniRef50_A0A2D6MF20	Archaea
UniRef50_A0A2D6MF56	Archaea
UniRef50_A0A2D6MF81	Archaea
UniRef50_A0A2D6MF96	Archaea
UniRef50_A0A2D6MFD3	Archaea
UniRef50_A0A2D6MFK8	Archaea
UniRef50_A0A2D6MFL8	Archaea
UniRef50_A0A2D6MFN1	Archaea
UniRef50_A0A2D6MFW5	Archaea
UniRef50_A0A2D6MFW6	Archaea
UniRef50_A0A2D6MFY8	Archaea
UniRef50_A0A2D6MG48	Archaea
UniRef50_A0A2D6MGB7	Archaea
UniRef50_A0A2D6MGE1	Archaea
UniRef50_A0A2D6MGG5	Archaea
UniRef50_A0A2D6MGG6	Archaea
UniRef50_A0A2D6MGI6	Archaea
UniRef50_A0A2D6MGN1	Archaea
UniRef50_A0A2D6MGU7	Archaea
UniRef50_A0A2D6MH03	Archaea
UniRef50_A0A2D6MH52	Archaea
UniRef50_A0A2D6MH94	Archaea
UniRef50_A0A2D6MH96	Archaea
UniRef50_A0A2D6MHF9	Archaea
UniRef50_A0A2D6MHQ1	Archaea
UniRef50_A0A2D6MI83	Archaea
UniRef50_A0A2D6MI86	Archaea
UniRef50_A0A2D6MIB8	Archaea
UniRef50_A0A2D6MIF7	Archaea
UniRef50_A0A2D6MIG3	Archaea
UniRef50_A0A2D6MIG4	Archaea
UniRef50_A0A2D6MIL3	Archaea
UniRef50_A0A2D6MIU8	Archaea
UniRef50_A0A2D6MIX4	Archaea
UniRef50_A0A2D6MIX9	Archaea
UniRef50_A0A2D6MIZ6	Archaea
UniRef50_A0A2D6MIZ8	Archaea
UniRef50_A0A2D6MJ19	Archaea
UniRef50_A0A2D6MJ29	Archaea
UniRef50_A0A2D6MJ95	Archaea
UniRef50_A0A2D6MJA0	Archaea
UniRef50_A0A2D6MJA3	Archaea
UniRef50_A0A2D6MJA4	Archaea
UniRef50_A0A2D6MTC7	Bacteria
UniRef50_A0A2D6N0W5	Bacteria
UniRef50_A0A2D6N2T5	Bacteria
UniRef50_A0A2D6N3R2	Bacteria
UniRef50_A0A2D6N5A3	Bacteria
UniRef50_A0A2D6N5Q7	Bacteria
UniRef50_A0A2D6N663	Bacteria
UniRef50_A0A2D6NA00	Bacteria
UniRef50_A0A2D6NA81	Bacteria
UniRef50_A0A2D6NCC6	Archaea
UniRef50_A0A2D6NFQ9	Archaea
UniRef50_A0A2D6NFT6	Archaea
UniRef50_A0A2D6NGB7	Archaea
UniRef50_A0A2D6NH11	Archaea
UniRef50_A0A2D6NH87	Archaea
UniRef50_A0A2D6NHC5	Archaea
UniRef50_A0A2D6NHQ4	Archaea
UniRef50_A0A2D6NHS6	Archaea
UniRef50_A0A2D6NHX2	Archaea
UniRef50_A0A2D6NV13	Bacteria
UniRef50_A0A2D6NVM6	Bacteria
UniRef50_A0A2D6NWJ9	Bacteria
UniRef50_A0A2D6NWQ5	Bacteria
UniRef50_A0A2D6NZS5	Bacteria
UniRef50_A0A2D6P5J9	Archaea
UniRef50_A0A2D6P5P4	Archaea
UniRef50_A0A2D6P5R2	Archaea
UniRef50_A0A2D6P5T0	Archaea
UniRef50_A0A2D6P5X7	Archaea
UniRef50_A0A2D6P603	Archaea
UniRef50_A0A2D6P667	Archaea
UniRef50_A0A2D6P6C1	Archaea
UniRef50_A0A2D6P6H3	Archaea
UniRef50_A0A2D6P6L0	Archaea
UniRef50_A0A2D6P6N8	Archaea
UniRef50_A0A2D6P6S1	Archaea
UniRef50_A0A2D6P6T3	Archaea
UniRef50_A0A2D6P774	Archaea
UniRef50_A0A2D6P777	Archaea
UniRef50_A0A2D6P789	Archaea
UniRef50_A0A2D6P791	Archaea
UniRef50_A0A2D6P7A0	Archaea
UniRef50_A0A2D6P7E1	Archaea
UniRef50_A0A2D6P7J5	Archaea
UniRef50_A0A2D6P7N9	Archaea
UniRef50_A0A2D6P7R4	Archaea
UniRef50_A0A2D6P7R9	Archaea
UniRef50_A0A2D6P7S0	Archaea
UniRef50_A0A2D6P7T5	Archaea
UniRef50_A0A2D6P808	Archaea
UniRef50_A0A2D6P821	Archaea
UniRef50_A0A2D6P8B2	Archaea
UniRef50_A0A2D6P8G4	Archaea
UniRef50_A0A2D6P8J4	Archaea
UniRef50_A0A2D6P8K2	Archaea
UniRef50_A0A2D6P8Q7	Archaea
UniRef50_A0A2D6P8V2	Archaea
UniRef50_A0A2D6P8V7	Archaea
UniRef50_A0A2D6P8X3	Archaea
UniRef50_A0A2D6P8X7	Archaea
UniRef50_A0A2D6P903	Archaea
UniRef50_A0A2D6P931	Archaea
UniRef50_A0A2D6P938	Archaea
UniRef50_A0A2D6P971	Archaea
UniRef50_A0A2D6P972	Archaea
UniRef50_A0A2D6P987	Archaea
UniRef50_A0A2D6P9G6	Archaea
UniRef50_A0A2D6P9M5	Archaea
UniRef50_A0A2D6P9R9	Archaea
UniRef50_A0A2D6P9Y8	Archaea
UniRef50_A0A2D6PA68	Archaea
UniRef50_A0A2D6PA80	Archaea
UniRef50_A0A2D6PA93	Archaea
UniRef50_A0A2D6PA98	Archaea
